Date,Open,High,Low,Close,Adj Close,Volume
2022-10-10,109.33999633789062,109.43000030517578,107.36000061035156,107.79000091552734,103.76203155517578,1061900
2022-10-11,107.27999877929688,107.33000183105469,105.0199966430664,105.25,101.31694030761719,2590400
2022-10-12,105.0,106.27999877929688,104.36000061035156,105.54000091552734,101.59609985351562,1911200
2022-10-13,104.13999938964844,110.5999984741211,103.97000122070312,109.68000030517578,105.58140563964844,1860200
2022-10-14,110.62999725341797,111.51000213623047,106.66000366210938,106.7699966430664,102.7801284790039,1470700
2022-10-17,108.58000183105469,110.52999877929688,108.55999755859375,109.9800033569336,105.87018585205078,1610800
2022-10-18,111.8499984741211,112.29000091552734,109.9800033569336,111.4800033569336,107.31414031982422,1308300
2022-10-19,110.77999877929688,112.06999969482422,109.44999694824219,110.44999694824219,106.32262420654297,1272600
2022-10-20,110.62000274658203,111.12000274658203,109.4000015258789,109.66000366210938,105.56214904785156,969300
2022-10-21,109.44000244140625,111.4000015258789,108.7699966430664,111.02999877929688,106.8809585571289,1735700
2022-10-24,110.95999908447266,111.08999633789062,107.69999694824219,108.7699966430664,104.70540618896484,2688000
2022-10-25,109.16999816894531,111.69000244140625,108.01000213623047,111.23999786376953,107.0831069946289,2326500
2022-10-26,111.73999786376953,114.04000091552734,111.41999816894531,112.2699966430664,108.07461547851562,1412200
2022-10-27,113.55999755859375,114.58999633789062,112.87999725341797,113.91000366210938,109.65333557128906,2265800
2022-10-28,114.12999725341797,118.55999755859375,114.0999984741211,117.87999725341797,113.4749755859375,2460700
2022-10-31,117.58000183105469,119.45999908447266,116.4000015258789,118.25,113.8311538696289,2193600
2022-11-01,119.01000213623047,119.36000061035156,117.5199966430664,118.1500015258789,113.7348861694336,2361600
2022-11-02,120.19999694824219,120.27999877929688,116.72000122070312,117.37000274658203,112.98402404785156,2543800
2022-11-03,116.94999694824219,120.63999938964844,116.19000244140625,119.5,115.0344467163086,2546300
2022-11-04,121.1500015258789,122.41999816894531,120.25,121.77999877929688,117.22924041748047,2850100
2022-11-07,121.5,123.48999786376953,121.5,122.51000213623047,117.93195343017578,1912600
2022-11-08,122.6500015258789,123.08000183105469,121.69999694824219,122.37999725341797,117.80680084228516,1885300
2022-11-09,121.94000244140625,122.93000030517578,121.43000030517578,122.05000305175781,117.4891586303711,1450000
2022-11-10,124.9000015258789,124.95999908447266,123.20999908447266,124.12999725341797,119.49141693115234,2710200
2022-11-11,124.77999877929688,124.77999877929688,122.80999755859375,123.33000183105469,118.72130584716797,1870300
2022-11-14,123.4800033569336,124.41000366210938,122.55000305175781,122.5999984741211,118.01860046386719,1677600
2022-11-15,123.37999725341797,124.29000091552734,122.56999969482422,123.30999755859375,118.70205688476562,1139400
2022-11-16,123.37000274658203,125.45999908447266,123.37000274658203,123.95999908447266,119.32776641845703,2256800
2022-11-17,122.8499984741211,123.5999984741211,121.8499984741211,122.7699966430664,118.18224334716797,2132900
2022-11-18,124.2300033569336,125.37999725341797,123.12000274658203,124.61000061035156,119.9534912109375,2985400
2022-11-21,124.73999786376953,124.7699966430664,122.73999786376953,124.0199966430664,119.38553619384766,1621000
2022-11-22,124.44999694824219,125.33000183105469,124.08000183105469,124.94000244140625,120.27115631103516,1507000
2022-11-23,125.5999984741211,126.12000274658203,124.37999725341797,125.93000030517578,121.77974700927734,1881000
2022-11-25,125.86000061035156,127.5,125.38999938964844,126.52999877929688,122.3599624633789,870600
2022-11-28,126.27999877929688,127.06999969482422,126.05000305175781,126.44999694824219,122.28260040283203,1514900
2022-11-29,126.08000183105469,126.80000305175781,125.51000213623047,126.04000091552734,121.88611602783203,2324000
2022-11-30,126.33000183105469,128.9600067138672,126.05000305175781,128.66000366210938,124.4197769165039,2543200
2022-12-01,129.0,129.99000549316406,128.52999877929688,129.19000244140625,124.93229675292969,1407100
2022-12-02,128.30999755859375,130.2899932861328,128.02000427246094,129.67999267578125,125.4061508178711,1586800
2022-12-05,130.1199951171875,131.07000732421875,129.05999755859375,130.91000366210938,126.59561920166016,2878800
2022-12-06,131.19000244140625,131.3800048828125,129.88999938964844,130.6199951171875,126.315185546875,1544400
2022-12-07,130.49000549316406,131.1999969482422,127.91999816894531,128.27000427246094,124.0426254272461,2085600
2022-12-08,128.91000366210938,129.8800048828125,128.4199981689453,129.85000610351562,125.57054901123047,1500000
2022-12-09,129.83999633789062,130.2899932861328,127.62999725341797,127.70999908447266,123.50109100341797,1833800
2022-12-12,127.72000122070312,129.72999572753906,126.95999908447266,129.63999938964844,125.3674545288086,1361700
2022-12-13,131.77000427246094,132.24000549316406,129.1699981689453,130.14999389648438,125.86065673828125,1821800
2022-12-14,130.5,131.6300048828125,129.38999938964844,131.22000122070312,126.89539337158203,1602600
2022-12-15,130.4600067138672,130.92999267578125,129.5399932861328,130.4499969482422,126.15079498291016,1981600
2022-12-16,130.8300018310547,131.91000366210938,128.39999389648438,129.3699951171875,125.1063461303711,4263500
2022-12-19,129.11000061035156,129.75999450683594,127.73999786376953,128.3800048828125,124.14900970458984,2325600
2022-12-20,128.52000427246094,128.7100067138672,127.41000366210938,128.58999633789062,124.35206604003906,1211900
2022-12-21,128.1300048828125,129.82000732421875,127.7300033569336,128.77999877929688,124.53581237792969,1994800
2022-12-22,128.5,128.85000610351562,127.0999984741211,128.82000732421875,124.57450103759766,1371900
2022-12-23,128.42999267578125,129.2100067138672,127.83999633789062,128.89999389648438,124.65184783935547,700800
2022-12-27,129.3000030517578,130.14999389648438,128.63999938964844,129.89999389648438,125.61888885498047,1300200
